tree_picture,source,measured_dbh,predicted_dbh
1662616964728.jpg,kenya,16.0,16.47
PXL_20231202_195313688_T33_S.jpg,pennsylvania,18.78028328484365,19.32
PXL_20231202_191729943_T14_S.jpg,pennsylvania,14.101127957941927,15.24
PXL_20231202_200513912_T38_S.jpg,pennsylvania,7.925916165976387,7.07
PXL_20231202_194218655_T28_S.jpg,pennsylvania,15.915494309189533,18.73
PXL_20231202_184117460_T1_S.jpg,pennsylvania,42.33521486244416,42.22
PXL_20231202_194658624_T30_S.jpg,pennsylvania,9.23098669932993,8.99
PXL_20231202_194044017_T27_S.jpg,pennsylvania,19.576058000303128,19.64
PXL_20231202_195517387_T34_S.jpg,pennsylvania,15.78817035471602,16.27
PXL_20231202_191503420_T13_S.jpg,pennsylvania,45.42282075842693,48.39
PXL_20231202_192507068_T18_S.jpg,pennsylvania,12.573240504259733,12.43
PXL_20231202_200127759_T37_S.jpg,pennsylvania,34.759439571269944,32.38
PXL_20231202_200836116_T40_S.jpg,pennsylvania,20.21267777267071,22.78
PXL_20231202_193748845_T25_S.jpg,pennsylvania,27.597467132134653,29.87
PXL_20231202_191306912_T12_S.jpg,pennsylvania,12.573240504259733,12.9
PXL_20231202_192219838_T17_S.jpg,pennsylvania,15.78817035471602,16.98
PXL_20231202_191122556_T11_S.jpg,pennsylvania,28.32957987035737,32.25
PXL_20231202_194443161_T29_S.jpg,pennsylvania,32.78591827693044,37.12
PXL_20231202_190050147_T6_S.jpg,pennsylvania,25.783100780887047,27.92
PXL_20231202_190540838_T8_S.jpg,pennsylvania,14.483099821362476,16.72
PXL_20231202_192839610_T20_S.jpg,pennsylvania,11.841127766037014,13.28
PXL_20231202_195922604_T36_S.jpg,pennsylvania,39.94789071606573,42.9
PXL_20231202_190921750_T10_S.jpg,pennsylvania,28.234086904502234,32.28
PXL_20231202_193544576_T24_S.jpg,pennsylvania,47.491835018621565,48.01
PXL_20231202_185637802_T4_S.jpg,pennsylvania,41.38028520389279,38.63
PXL_20231202_192700561_T19_S.jpg,pennsylvania,14.642254764454371,15.18
PXL_20231202_192057738_T16_S.jpg,pennsylvania,42.81267969171985,42.02
PXL_20231202_193323309_T23_S.jpg,pennsylvania,37.401411626595404,41.22
PXL_20231202_194900125_T31_S.jpg,pennsylvania,13.782818071758136,15.05
PXL_20231202_191923609_T15_S.jpg,pennsylvania,28.32957987035737,27.71
PXL_20231202_193128559_T22_S.jpg,pennsylvania,42.01690497626037,42.72
PXL_20231202_195022538_T32_S.jpg,pennsylvania,12.573240504259733,12.78
PXL_20231202_184711422_T3_S.jpg,pennsylvania,15.278874536821952,18.16
PXL_20231202_193924270_T26_S.jpg,pennsylvania,22.759156862141033,25.3
PXL_20231202_190738698_T9_S.jpg,pennsylvania,13.750987083139758,14.64
PXL_20231202_200638907_T39_S.jpg,pennsylvania,38.515496228238675,38.95
PXL_20231202_195710972_T35_S.jpg,pennsylvania,20.435494692999363,22.02
PXL_20231202_184445565_T2_S.jpg,pennsylvania,15.278874536821952,17.55
PXL_20231202_190249571_T7_S.jpg,pennsylvania,39.470425886790046,42.31
PXL_20231202_193010669_T21_S.jpg,pennsylvania,41.794088055931724,46.89
PXL_20231202_185843249_T5_S.jpg,pennsylvania,43.76760935027122,42.49
