,ratio,measured_dbh
0,3.7975858221408685,28.3
1,3.219780105037765,20.0
2,2.7502836427832986,16.7
3,1.7889954492725242,10.4
4,3.4443577065000537,23.2
5,4.838681791889408,34.3
6,2.306289106393861,14.7
7,2.378243456978054,15.9
8,2.9383486897535205,18.8
9,4.688115322164186,30.0
10,4.373077209218123,26.45
11,3.7897860557800316,21.2
12,2.636556402197854,18.5
13,2.9196689025528455,21.0
14,1.7852769636700667,12.2
15,2.321717374059108,14.8
16,3.22468307784103,20.7
17,3.8091494044003533,25.1
18,0.9042703721085809,5.0
19,1.1992720111441206,7.2
20,1.2786583886477778,7.2
21,1.7191844184914222,10.85
22,5.579458707101586,38.0
23,2.8454161163557234,15.8
24,2.4656580160910786,14.9
25,0.9394702824526727,5.5
26,3.970996440048987,25.7
27,1.6586625576935725,9.1
28,1.147048000037325,6.6
29,1.1252320487945706,7.0
30,2.3647776478491087,14.0
31,4.370407552373325,29.9
32,5.530469468030706,38.5
33,2.846140299494055,18.0
34,4.368939406941635,36.9
35,4.059826020088069,24.7
36,2.721782670004265,16.3
37,3.9851474875432498,28.5
38,5.607753633881514,35.9
39,6.082326895188751,40.7
40,3.4406005776530972,23.6
41,3.3169146232416686,25.0
42,2.5520536229289648,15.8
43,3.416822700977507,20.1
44,2.018541117472699,13.5
45,2.075559857216936,12.9
46,4.793365241789075,30.5
47,1.3727478907277286,7.6
48,5.395520327781036,32.6
49,5.026896797475021,35.1
50,3.1705045910580605,19.9
51,5.085426941340293,31.9
